name,provider,rocket,status,launch_time,pad,mission_type,year,month,day,day_of_week,hour,provider_id,rocket_id,mission_type_id,pad_id
Sputnik 8K71PS | Sputnik-1,RVSN USSR,Sputnik 8K71PS,Launch Successful,1957-10-04 19:28:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1957,10,4,Friday,19,40,282,7,83
Sputnik 8K71PS | Sputnik-2,RVSN USSR,Sputnik 8K71PS,Launch Successful,1957-11-03 02:30:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1957,11,3,Sunday,2,40,282,7,83
Vanguard | Vanguard TV3,US Navy,Vanguard,Launch Failure,1957-12-06 16:44:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1957,12,6,Friday,16,49,327,7,26
Juno I | Explorer 1,AMBA,Juno I,Launch Successful,1958-02-01 03:48:00+00:00,"LC-26A, Cape Canaveral AFS, Florida, USA",Unknown,1958,2,1,Saturday,3,1,152,7,31
Vanguard | Vanguard TV3BU,US Navy,Vanguard,Launch Failure,1958-02-05 07:33:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1958,2,5,Wednesday,7,49,327,7,26
Juno I | Explorer 2,AMBA,Juno I,Launch Failure,1958-03-05 18:27:00+00:00,"LC-26A, Cape Canaveral AFS, Florida, USA",Unknown,1958,3,5,Wednesday,18,1,152,7,31
Vanguard | Vanguard 1,US Navy,Vanguard,Launch Successful,1958-03-17 12:15:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1958,3,17,Monday,12,49,327,7,26
Juno I | Explorer 3,AMBA,Juno I,Launch Successful,1958-03-26 17:38:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1958,3,26,Wednesday,17,1,152,7,36
Sputnik 8A91 | Sputnik-3 #1,RVSN USSR,Sputnik 8A91,Launch Failure,1958-04-27 09:01:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1958,4,27,Sunday,9,40,281,7,83
Vanguard | Vanguard TV5,US Navy,Vanguard,Launch Failure,1958-04-28 02:53:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1958,4,28,Monday,2,49,327,7,26
Sputnik 8A91 | Sputnik-3 #2,RVSN USSR,Sputnik 8A91,Launch Successful,1958-05-15 07:12:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1958,5,15,Thursday,7,40,281,7,83
Vanguard | Vanguard SLV-1,US Navy,Vanguard,Launch Failure,1958-05-28 03:46:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1958,5,28,Wednesday,3,49,327,7,26
Vanguard | Vanguard SLV-2,US Navy,Vanguard,Launch Failure,1958-06-26 05:00:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1958,6,26,Thursday,5,49,327,7,26
Juno I | Explorer 4,AMBA,Juno I,Launch Successful,1958-07-26 15:00:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1958,7,26,Saturday,15,1,152,7,36
Thor-DM 18 Able I | Pioneer 0,US Air Force,Thor-DM 18 Able I,Launch Failure,1958-08-17 12:18:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1958,8,17,Sunday,12,48,294,7,57
Juno I | Explorer 5,AMBA,Juno I,Launch Failure,1958-08-24 06:17:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1958,8,24,Sunday,6,1,152,7,36
Vostok | E-1 n†­1 (Luna-1),RVSN USSR,Vostok,Launch Failure,1958-09-23 07:40:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1958,9,23,Tuesday,7,40,331,7,83
Vanguard | Vanguard SLV-3,US Navy,Vanguard,Launch Failure,1958-09-26 15:38:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1958,9,26,Friday,15,49,327,7,26
Thor-DM 18 Able I | Pioneer 1,NASA,Thor-DM 18 Able I,Partial Failure,1958-10-11 08:42:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1958,10,11,Saturday,8,35,294,7,57
Vostok | E-1 n†­2 (Luna-1),RVSN USSR,Vostok,Launch Failure,1958-10-11 21:41:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1958,10,11,Saturday,21,40,331,7,83
Juno I | Beacon 1,AMBA,Juno I,Launch Failure,1958-10-23 03:21:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1958,10,23,Thursday,3,1,152,7,36
Thor-DM 18 Able I | Pioneer 2,NASA,Thor-DM 18 Able I,Launch Failure,1958-11-08 07:30:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1958,11,8,Saturday,7,35,294,7,57
Vostok | E-1 n†­3 (Luna-1),RVSN USSR,Vostok,Launch Failure,1958-12-04 18:18:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1958,12,4,Thursday,18,40,331,7,83
Juno II | Pioneer 3,AMBA,Juno II,Partial Failure,1958-12-06 05:44:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1958,12,6,Saturday,5,1,153,7,36
SM-65B Atlas | SCORE,US Air Force,SM-65B Atlas,Launch Successful,1958-12-18 23:02:00+00:00,"LC-11, Cape Canaveral AFS, Florida, USA",Unknown,1958,12,18,Thursday,23,48,237,7,21
Vostok | Luna-1,RVSN USSR,Vostok,Partial Failure,1959-01-02 16:41:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1959,1,2,Friday,16,40,331,7,83
Vanguard | Vanguard 2,US Navy,Vanguard,Launch Successful,1959-02-17 15:55:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1959,2,17,Tuesday,15,49,327,7,26
Thor-DM18 Agena-A | Discoverer 1,US Air Force,Thor-DM18 Agena-A,Launch Failure,1959-02-28 21:49:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1959,2,28,Saturday,21,48,295,7,60
Thor-DM18 Agena-A | Discoverer 2,US Air Force,Thor-DM18 Agena-A,Launch Successful,1959-04-13 21:18:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1959,4,13,Monday,21,48,295,7,60
Vanguard | Vanguard SLV-5,US Navy,Vanguard,Launch Failure,1959-04-14 02:49:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1959,4,14,Tuesday,2,49,327,7,26
Thor-DM18 Agena-A | Discoverer 3,US Air Force,Thor-DM18 Agena-A,Launch Failure,1959-06-03 20:09:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1959,6,3,Wednesday,20,48,295,7,60
Vostok | E-1A n†­1 (Luna-2),RVSN USSR,Vostok,Launch Failure,1959-06-18 08:08:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1959,6,18,Thursday,8,40,331,7,83
Vanguard | Vanguard SLV-6,US Navy,Vanguard,Launch Failure,1959-06-22 20:16:00+00:00,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,1959,6,22,Monday,20,49,327,7,26
Thor-DM18 Agena-A | Discoverer 4,US Air Force,Thor-DM18 Agena-A,Launch Failure,1959-06-25 22:47:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1959,6,25,Thursday,22,48,295,7,59
Thor DM-18 Able-III | Explorer 6,US Air Force,Thor DM-18 Able-III,Launch Successful,1959-08-07 14:24:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1959,8,7,Friday,14,48,289,7,57
